HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,PRIORITY,SURVTYPE,PROSPECT,PROSPECTNAME,AZIMUTHTYPE,OBSERVACIONES
"AND-06","0020",50,85.8,-70.58,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",60,85.5,-70.66,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",70,85.58,-70.66,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",80,85.58,-70.76,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",90,85.65,-70.79,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",100,85.21,-70.88,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",110,84.94,-70.87,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",120,84.87,-71.19,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",130,85.15,-71.1,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",140,85.56,-71.05,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",150,85.83,-71.07,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",160,86.46,-71.13,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",170,86.23,-71.32,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",180,85.5,-71.11,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",190,86.22,-71.1,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",200,86.25,-71.03,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",210,86.55,-71.07,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",220,86.71,-70.91,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",230,87.46,-70.53,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",240,86.69,-70.61,1,"GIRO1","175","AMSA 2006","",""
"AND-06","0020",250,86.83,-70.8,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",0,94.67,-70.02,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",10,94.06,-69.43,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",20,94.6,-69.32,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",30,94.56,-69.55,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",40,94.15,-69.67,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",50,93.65,-69.54,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",60,93.38,-69.67,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",70,92.97,-69.87,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",80,91.94,-69.97,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",90,91.53,-70.08,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",100,91.18,-70.08,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",110,91.13,-70.44,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",120,90.54,-70.36,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",130,90.55,-70.38,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",140,90.4,-70.44,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",150,90.85,-70.48,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",160,91.13,-70.61,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",170,91.1,-70.7,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",180,91.64,-70.73,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",190,91.84,-70.73,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",200,92.13,-70.85,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",210,92.15,-71.01,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",220,92.05,-71.08,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",230,91.9,-71.09,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",240,92.18,-71.1,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",250,91.95,-71.11,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",260,91.81,-71.13,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",270,92.02,-71.29,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",280,92.4,-71.37,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",290,92.72,-71.43,1,"GIRO1","175","AMSA 2006","",""
"AND-07","0020",297,92.29,-71.39,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",0,269.229,-74.2802,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",10,270.27,-74.04,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",20,271,-74.45,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",30,271.02,-74.9,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",40,270.9,-75.1,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",50,270.94,-74.94,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",60,270.8,-75.07,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",70,270.33,-75.23,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",80,270.77,-75.49,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",90,270.88,-75.53,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",100,271.35,-75.51,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",110,272.14,-75.66,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",120,272.06,-75.84,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",130,272.64,-75.72,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",140,272.41,-75.91,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",150,273.07,-76.03,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",160,274.06,-76.09,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",170,273.55,-75.99,1,"GIRO1","175","AMSA 2006","",""
"AND-08","0020",180,274.74,-75.9,1,"GIRO1","175","AMSA 2006","",""
